0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:23 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:24 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:24 -0300] "GET /PI-AssistenciaTecnica/js/recepcao.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:24 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:24 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:24 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:43 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:43 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:43 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:43 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:43 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:43 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:47 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:47 -0300] "GET /PI-AssistenciaTecnica/js/recepcao.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:47 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:47 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
