0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:51 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:51 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:51 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:51 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:51 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:51 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:55 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:55 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 200 8975
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:55 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:25:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:01 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:16 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:24 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:29 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/ HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:29 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:29 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:29 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:29 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:29 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:30 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:32 -0300] "GET /PI-AssistenciaTecnica/general/funcoes/consulta_ordemservico.html HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:40 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:40 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:40 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:42 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:42 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:42 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:46 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:46 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:46 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [15/Feb/2022:18:26:50 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:32 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento/ HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:32 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroOrcamento.js HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:32 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:36 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente/ HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:36 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroCliente.js HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:36 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:36 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:36 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:55 -0300] "POST /PI-AssistenciaTecnica/rest/cliente/cadastrar HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:55 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:59 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:59 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:59 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:59 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:59 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:01:59 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:01 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "POST /PI-AssistenciaTecnica/rest/cliente/cadastrar HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
