127.0.0.1 - - [16/Feb/2022:19:21:43 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:44 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:44 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:44 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:44 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:57 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:57 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:57 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:57 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:21:57 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:04 -0300] "GET /PI-AssistenciaTecnica/pages/adm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:04 -0300] "GET /PI-AssistenciaTecnica/pages/adm/ HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:04 -0300] "GET /PI-AssistenciaTecnica/css/admin.css HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:04 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:04 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:04 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:05 -0300] "GET /PI-AssistenciaTecnica/pages/adm/geral/cabecalho.html HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:06 -0300] "GET /PI-AssistenciaTecnica/pages/adm/funcao/cadastro_funcionario/ HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:06 -0300] "GET /PI-AssistenciaTecnica/js/admin_cadastroFuncionario.js HTTP/1.1" 200 7469
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:07 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:07 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:07 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:16 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:16 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:16 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:16 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:16 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:16 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:16 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:21 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:21 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/ HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:21 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:21 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:21 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:28 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:28 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/ HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:28 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
