127.0.0.1 - - [03/Mar/2022:19:09:08 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:09 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:09 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:09 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:09 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:17 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:17 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:18 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:18 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:19 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "GET /PI-AssistenciaTecnica/pages/adm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "GET /PI-AssistenciaTecnica/pages/adm/ HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "GET /PI-AssistenciaTecnica/css/admin.css HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [03/Mar/2022:19:09:22 -0300] "GET /PI-AssistenciaTecnica/pages/adm/geral/cabecalho.html HTTP/1.1" 200 967
