127.0.0.1 - - [04/Mar/2022:17:58:41 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "GET /PI-AssistenciaTecnica/css/admin.css HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "GET /PI-AssistenciaTecnica/pages/adm/geral/cabecalho.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:05 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:05 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:05 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:05 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:05 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:08 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:08 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 200 9012
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:08 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:12 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:14 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:54 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:58 -0300] "GET /PI-AssistenciaTecnica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:58 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:58 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:58 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:00:58 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/ HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:01 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:04 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_ordemServico/ HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:04 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOS.js HTTP/1.1" 200 6630
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:04 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_orcamento/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOrcamento.js HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:11 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:11 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:14 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:14 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:16 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:19 -0300] "GET /PI-AssistenciaTecnica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:25 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:25 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:25 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:25 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:25 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:28 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:28 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:28 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:28 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:30 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/1/3 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:30 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:33 -0300] "GET /PI-AssistenciaTecnica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:33 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:33 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:33 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:33 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:39 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:41 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_ordemServico/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:41 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOS.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:41 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:43 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:43 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:43 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:48 -0300] "GET /PI-AssistenciaTecnica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:51 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:51 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:51 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/ HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:51 -0300] "GET /PI-AssistenciaTecnica/css/almoxarife.css HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:51 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/geral/cabecalho.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:53 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/funcao/verifica_item/ HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:53 -0300] "GET /PI-AssistenciaTecnica/js/almoxarife_verificarItem.js HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:53 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:54 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:56 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/1/4 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:56 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:01:57 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:00 -0300] "GET /PI-AssistenciaTecnica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:06 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:06 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:06 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:06 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:06 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:08 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:08 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:08 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:09 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:09 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 7209
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:09 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:10 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:10 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:10 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:10 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:10 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:15 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:15 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:15 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:15 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:18 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:18:02:18 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao HTTP/1.1" 302 -
