127.0.0.1 - - [08/Dec/2021:18:37:30 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:31 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:31 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:31 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:31 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:31 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:32 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:40 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:40 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:40 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:40 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:40 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [08/Dec/2021:18:37:40 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1789
