127.0.0.1 - - [19/Nov/2021:18:04:06 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:07 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente/index.html HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:07 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/js/recepcao_cadastroCliente.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:18 -0300] "GET /PI-AssistenciaTecnica/pages/recepcaoindex.html HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:18 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:22 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:22 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:22 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:22 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:22 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:23 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:27 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento/ HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:27 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroOrcamento.js HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:04:27 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:05:59 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:05:59 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:05:59 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:05:59 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:05:59 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:06:00 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:06:04 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:06:04 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroOrcamento.js HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:06:04 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:31 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:31 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:31 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:31 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:31 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:32 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:35 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento/ HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:35 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroOrcamento.js HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:08:35 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:09:11 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [19/Nov/2021:18:09:11 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1716
